I_Lose_Bets,FOLD,UTG,1,6,,
telsa333,CALL,HJ,1,6,,
telsa333,FOLD,HJ,2,6,,
genghiskhan,FOLD,CO,1,6,,
Drlove2424,CALL,D,1,6,,
Drlove2424,FOLD,D,2,6,,
JosephBrian,RAISE,SB,1,6,,
NewAgeOfPkr,FOLD,BB,2,6,,
telsa333,FOLD,UTG,1,6,,
genghiskhan,FOLD,HJ,1,6,,
Drlove2424,RAISE,CO,1,6,,
JosephBrian,FOLD,D,2,6,,
NewAgeOfPkr,FOLD,SB,2,6,,
I_Lose_Bets,FOLD,BB,2,6,,
genghiskhan,FOLD,UTG,1,6,,
Drlove2424,CALL,HJ,1,6,,
Drlove2424,CALL,HJ,2,6,,
JosephBrian,FOLD,CO,1,6,,
NewAgeOfPkr,RAISE,D,1,6,,
I_Lose_Bets,FOLD,SB,2,6,,
telsa333,FOLD,BB,2,6,,
Drlove2424,CALL,UTG,1,6,,
JosephBrian,FOLD,HJ,1,6,,
NewAgeOfPkr,FOLD,CO,1,6,,
I_Lose_Bets,FOLD,D,1,6,,
telsa333,CALL,SB,1,6,,
genghiskhan,CHECK,BB,1,6,,
JosephBrian,FOLD,UTG,1,6,,
NewAgeOfPkr,FOLD,HJ,1,6,,
I_Lose_Bets,FOLD,CO,1,6,,
telsa333,FOLD,D,1,6,,
genghiskhan,CALL,SB,1,6,,
genghiskhan,CALL,SB,2,6,,
Drlove2424,RAISE,BB,1,6,,
